Epoca,Erro_Quadratico_Medio
1,0.20487656969258972
2,0.19115130156215257
3,0.18249308663997224
4,0.1763237632949036
5,0.17149273214025884
6,0.1677660870586884
7,0.16485838498468525
8,0.16231005300744505
9,0.16006293126420265
10,0.158118739231477
11,0.15652897396959814
12,0.15537980433562068
13,0.1547257360924703
14,0.15458505090117286
15,0.15496542667725172
16,0.15585635803530506
17,0.15722861476857972
18,0.1590508632448707
19,0.1612741900596631
20,0.16379576818263228
21,0.16641031009344126
22,0.16890003392115982
23,0.1711699518167081
24,0.17312508837435472
25,0.1747273449726787
26,0.1760382425363173
27,0.17709543272136044
28,0.17791807710732485
29,0.17854992052254848
