Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,C
L,L
M,M
N,N
O,O
P,P
Q,O
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,B
B,R
C,G
D,D
E,R
F,F
G,N
H,H
I,T
J,J
K,K
L,K
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,P
Y,K
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,Q
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,T
J,J
K,K
L,L
M,M
N,K
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,A
X,X
Y,Y
Z,Z
A,H
B,B
C,Z
D,D
E,E
F,F
G,G
H,W
I,T
J,J
K,K
L,L
M,M
N,N
O,B
P,P
Q,Q
R,R
S,S
T,T
U,W
V,V
W,R
X,A
Y,T
Z,Z
