Rotulo_Real,Classe_Predita
A,G
A,W
A,H
A,M
A,N
B,W
B,B
B,O
B,B
B,D
C,K
C,Z
C,A
C,T
C,L
D,Z
D,D
D,D
D,P
D,H
E,Z
E,E
E,F
E,R
E,Z
F,E
F,F
F,E
F,E
F,F
G,G
G,W
G,W
G,W
G,G
H,G
H,W
H,W
H,A
H,W
I,T
I,C
I,Y
I,J
I,T
J,J
J,J
J,J
J,J
J,V
K,K
K,L
K,H
K,K
K,H
L,T
L,I
L,Y
L,W
L,Z
M,B
M,M
M,Z
M,M
M,M
N,Q
N,M
N,W
N,Y
N,W
O,E
O,W
O,B
O,G
O,W
P,P
P,M
P,P
P,R
P,P
Q,Q
Q,G
Q,Q
Q,Q
Q,Q
R,R
R,K
R,K
R,P
R,A
S,S
S,K
S,B
S,S
S,S
T,T
T,F
T,T
T,T
T,K
U,W
U,O
U,W
U,W
U,Q
V,B
V,O
V,H
V,D
V,V
W,D
W,Q
W,E
W,D
W,J
X,G
X,T
X,X
X,A
X,H
Y,T
Y,T
Y,Y
Y,P
Y,P
Z,C
Z,D
Z,Z
Z,R
Z,Z
