Rotulo_Real,Classe_Predita
A,A
B,S
C,S
D,S
E,E
F,F
G,G
H,H
I,J
J,J
K,K
L,E
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,R
B,R
C,R
D,R
E,E
F,F
G,R
H,M
I,I
J,J
K,K
L,E
M,M
N,H
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,R
V,V
W,W
X,X
Y,F
Z,Z
A,A
B,B
C,C
D,D
E,E
F,F
G,L
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,C
D,B
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,W
B,S
C,Z
D,D
E,E
F,F
G,G
H,N
I,I
J,J
K,X
L,S
M,M
N,N
O,D
P,P
Q,Q
R,R
S,S
T,F
U,L
V,M
W,R
X,X
Y,P
Z,Z
