Rotulo_Real,Classe_Predita
A,A
B,B
C,J
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,A
C,C
D,R
E,E
F,F
G,N
H,H
I,I
J,J
K,K
L,A
M,M
N,N
O,Q
P,P
Q,Q
R,R
S,S
T,T
U,V
V,V
W,W
X,K
Y,Z
Z,D
A,A
B,B
C,L
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,V
W,W
X,K
Y,Y
Z,Z
A,A
B,G
C,Q
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,V
M,M
N,S
O,O
P,P
Q,C
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,K
L,L
M,M
N,N
O,D
P,P
Q,Q
R,A
S,S
T,T
U,L
V,V
W,M
X,X
Y,Y
Z,Z
