Epoca,Erro_Treino,Erro_Validacao
1,0.08682381748949732,0.09755781894389914
2,0.07066965252902643,0.08627605721569763
3,0.043551298111033664,0.07218179901720219
4,0.03148548470967488,0.06240555465685336
5,0.02412835018859782,0.05566429110218322
6,0.01984194443452057,0.051393845267601886
7,0.01647331899985027,0.04949841679093668
8,0.01426333403674726,0.04876286759313497
9,0.012643042999208185,0.0492628903288664
10,0.011692647719587251,0.049511093034564434
11,0.010582631031112913,0.049006565124227894
12,0.009799234936329825,0.0489382138159235
13,0.00936039754859879,0.0486386142816267
14,0.00900915992656809,0.04821441638546764
15,0.00867565005724494,0.04772182134090981
16,0.008278457782304932,0.047167465778980004
17,0.00788715418316845,0.04662035461402476
18,0.007671170841290243,0.04618658365779867
19,0.007486833738717694,0.045825459783276956
20,0.007294927240119538,0.04553909785225636
21,0.007057363356264281,0.04530231578449872
22,0.006721595402123473,0.04520964574168515
23,0.006496705748504441,0.04569715300278967
24,0.0061936329344173865,0.04658255456280546
25,0.005678804157598911,0.04768308648751657
26,0.00499849937548559,0.04567841292068297
