Rotulo_Real,Classe_Predita
A,A
A,S
A,H
A,R
A,J
B,Z
B,W
B,O
B,A
B,D
C,Z
C,Z
C,J
C,Z
C,L
D,O
D,P
D,P
D,O
D,X
E,A
E,D
E,P
E,P
E,P
F,R
F,F
F,P
F,A
F,W
G,A
G,J
G,V
G,W
G,G
H,U
H,A
H,M
H,W
H,A
I,Y
I,Z
I,I
I,A
I,Y
J,J
J,J
J,Z
J,J
J,P
K,K
K,B
K,A
K,R
K,A
L,Y
L,I
L,Z
L,L
L,Z
M,B
M,B
M,B
M,A
M,M
N,Q
N,Z
N,Z
N,Q
N,U
O,D
O,X
O,W
O,G
O,W
P,P
P,R
P,P
P,R
P,P
Q,Q
Q,Q
Q,Q
Q,D
Q,Q
R,R
R,R
R,R
R,W
R,B
S,U
S,K
S,E
S,Y
S,E
T,E
T,F
T,E
T,Z
T,L
U,A
U,O
U,W
U,W
U,W
V,V
V,D
V,B
V,H
V,V
W,R
W,G
W,W
W,B
W,J
X,N
X,M
X,X
X,A
X,A
Y,Y
Y,P
Y,E
Y,P
Y,P
Z,Z
Z,P
Z,Z
Z,W
Z,Z
