Rotulo_Real,Classe_Predita
A,A
B,B
C,Z
D,W
E,F
F,F
G,G
H,H
I,J
J,J
K,C
L,I
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,R
B,R
C,C
D,O
E,Z
F,F
G,G
H,H
I,J
J,Z
K,K
L,L
M,M
N,H
O,O
P,P
Q,Q
R,R
S,G
T,T
U,U
V,V
W,W
X,K
Y,P
Z,Z
A,A
B,B
C,C
D,D
E,F
F,F
G,E
H,R
I,I
J,I
K,K
L,L
M,M
N,N
O,O
P,P
Q,Q
R,H
S,S
T,T
U,U
V,M
W,W
X,X
Y,Y
Z,J
A,A
B,B
C,C
D,D
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,X
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,P
X,X
Y,Y
Z,Z
A,A
B,B
C,Z
D,D
E,E
F,F
G,W
H,W
I,I
J,J
K,K
L,L
M,J
N,Q
O,D
P,P
Q,Q
R,F
S,S
T,T
U,L
V,H
W,L
X,A
Y,P
Z,Z
