Rotulo_Real,Classe_Predita
A,A
B,B
C,E
D,D
E,E
F,F
G,G
H,H
I,I
J,I
K,M
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,Y
Y,Y
Z,Z
A,R
B,R
C,C
D,G
E,E
F,F
G,S
H,N
I,J
J,J
K,R
L,L
M,M
N,H
O,O
P,R
Q,Q
R,R
S,S
T,F
U,N
V,V
W,W
X,R
Y,Y
Z,Z
A,S
B,B
C,C
D,D
E,E
F,F
G,L
H,H
I,I
J,J
K,R
L,L
M,M
N,N
O,O
P,P
Q,Q
R,R
S,S
T,T
U,U
V,V
W,W
X,X
Y,V
Z,Z
A,A
B,I
C,C
D,J
E,E
F,F
G,G
H,H
I,I
J,J
K,K
L,L
M,M
N,R
O,O
P,P
Q,Q
R,R
S,S
T,I
U,U
V,Y
W,W
X,X
Y,Y
Z,Z
A,A
B,S
C,Z
D,D
E,E
F,F
G,G
H,A
I,I
J,J
K,E
L,S
M,M
N,C
O,O
P,R
Q,Q
R,R
S,S
T,C
U,U
V,V
W,E
X,A
Y,Y
Z,Z
