Rotulo_Real,Classe_Predita
A,G
A,K
A,A
A,A
A,G
B,B
B,S
B,F
B,B
B,D
C,W
C,W
C,I
C,Z
C,Z
D,J
D,O
D,O
D,I
D,H
E,J
E,K
E,T
E,W
E,T
F,P
F,A
F,A
F,Q
F,E
G,G
G,A
G,Q
G,L
G,E
H,K
H,L
H,H
H,N
H,K
I,Z
I,Z
I,S
I,G
I,T
J,J
J,J
J,Z
J,S
J,V
K,K
K,A
K,M
K,A
K,A
L,I
L,Z
L,E
L,L
L,I
M,E
M,M
M,W
M,M
M,M
N,N
N,H
N,H
N,M
N,N
O,L
O,W
O,G
O,D
O,G
P,P
P,F
P,B
P,P
P,P
Q,V
Q,G
Q,Q
Q,Q
Q,Q
R,K
R,B
R,K
R,F
R,A
S,S
S,E
S,J
S,F
S,S
T,E
T,O
T,E
T,T
T,F
U,L
U,U
U,M
U,V
U,Q
V,V
V,P
V,V
V,P
V,U
W,Z
W,Z
W,E
W,L
W,K
X,X
X,M
X,X
X,B
X,F
Y,Z
Y,P
Y,Y
Y,P
Y,U
Z,Z
Z,M
Z,E
Z,M
Z,M
