Experimento,Caso,Camada_Oculta,Alpha,Max_Epocas,Erro_Minimo,Tempo_Original_Segundos,Tempo_Ruidoso_Segundos
exp_1,0,15,0.01,1000,0.05,53.6143,1.5842
exp_2,0,15,0.01,1000,0.01,94.0467,3.0387
exp_3,0,15,0.01,1000,0.005,65.6262,2.2641
exp_4,0,15,0.01,1500,0.05,66.4704,2.2523
exp_5,0,15,0.01,1500,0.01,79.8057,2.0005
exp_6,0,15,0.01,1500,0.005,60.9693,1.9385
exp_7,0,15,0.01,2000,0.05,70.6963,1.7033
exp_8,0,15,0.01,2000,0.01,108.3624,1.4609
exp_9,0,15,0.01,2000,0.005,135.7405,1.4647
exp_10,0,15,0.05,1000,0.05,15.2903,1.9679
exp_11,0,15,0.05,1000,0.01,20.3181,1.6515
exp_12,0,15,0.05,1000,0.005,30.8376,1.9529
exp_13,0,15,0.05,1500,0.05,12.4451,1.6981
exp_14,0,15,0.05,1500,0.01,19.8237,1.8711
exp_15,0,15,0.05,1500,0.005,17.0692,1.8790
exp_16,0,15,0.05,2000,0.05,18.9320,1.7685
exp_17,0,15,0.05,2000,0.01,21.8562,1.8242
exp_18,0,15,0.05,2000,0.005,21.7434,2.0934
exp_19,0,15,0.1,1000,0.05,7.3826,1.7167
exp_20,0,15,0.1,1000,0.01,23.1196,1.6075
exp_21,0,15,0.1,1000,0.005,7.7517,1.6973
exp_22,0,15,0.1,1500,0.05,8.1428,2.0645
exp_23,0,15,0.1,1500,0.01,10.5689,2.1738
exp_24,0,15,0.1,1500,0.005,26.9574,1.9997
exp_25,0,15,0.1,2000,0.05,7.5448,1.7029
exp_26,0,15,0.1,2000,0.01,11.9849,1.7351
exp_27,0,15,0.1,2000,0.005,11.5878,2.0486
exp_28,0,15,0.2,1000,0.05,4.3947,2.0194
exp_29,0,15,0.2,1000,0.01,7.9767,1.7420
exp_30,0,15,0.2,1000,0.005,8.5197,1.7739
exp_31,0,15,0.2,1500,0.05,4.2073,1.8935
exp_32,0,15,0.2,1500,0.01,10.4426,1.9901
